,Long ID,Short ID,Entry time,Exit time,Entry Price,Exit Price,Signal,Long Quantity,Short Quantity,RSI,ATR,Change in PnL,PnL,Remarks,Cash
37,,19,2023-12-27 01:00:00+00:00,2024-01-01 22:00:00+00:00,42362.9140625,43631.3046875,Short,,7.463091280200901,14.190252538127016,519.2612857964374,-9466.11501332607,223396.83171822256,Exit Short Algo,306376.0212358741
38,20,,2024-01-01 22:00:00+00:00,2024-01-13 12:00:00+00:00,43631.3046875,42605.5390625,Long,7.014909304381278,,72.874665717936,510.2337210962265,-7195.652826926977,216201.17889129557,Exit Long Algo,298567.9227424966
39,,20,2024-01-13 12:00:00+00:00,2024-01-26 17:00:00+00:00,42605.5390625,41952.96484375,Short,,7.0007177794936295,12.576517601592139,1152.856613841055,4568.48793564229,220769.66682693787,Exit Short Algo,302539.57340057666
40,21,,2024-01-26 17:00:00+00:00,2024-03-15 12:00:00+00:00,41952.96484375,67606.7890625,Long,7.204187712425818,,73.02257307365826,784.8132755719244,184814.9652134506,405584.6320403885,Exit Long Algo,486749.7620067995
41,,21,2024-03-15 12:00:00+00:00,2024-03-25 03:00:00+00:00,67606.7890625,66715.75,Short,,7.1925174821608575,20.2851649395762,2449.440015158189,6408.814034319471,411993.44607470796,Exit Short Algo,492185.5632668674
42,22,,2024-03-25 03:00:00+00:00,2024-04-02 06:00:00+00:00,66715.75,66806.3671875,Long,7.369974521812324,,68.59231149451442,1224.4238316510498,667.8463631132902,412661.2924378212,Exit Long Algo,491869.5306890102
43,,22,2024-04-02 06:00:00+00:00,2024-04-06 22:00:00+00:00,66806.3671875,68330.9375,Short,,7.355251929493658,20.531688828787,1446.195207233938,-11213.598732664374,401447.69370515685,Exit Short Algo,479672.6847644985
44,23,,2024-04-06 22:00:00+00:00,2024-04-13 10:00:00+00:00,68330.9375,67424.96875,Long,7.012826541121787,,68.4880906465777,516.8720828166562,-6353.401695426929,395094.29200972995,Exit Long Algo,472360.41737222736
45,,23,2024-04-13 10:00:00+00:00,2024-04-21 12:00:00+00:00,67424.96875,65252.48046875,Short,,6.998713765882985,17.440632325168696,1422.78109709423,15204.623640203841,410298.9156499338,Exit Short Algo,486620.7925381041
46,24,,2024-04-21 12:00:00+00:00,2024-04-25 12:00:00+00:00,65252.48046875,63849.2109375,Long,7.450048921563679,,74.61117820778146,593.9066791847337,-10454.426657952232,399844.48899198155,Exit Long Algo,475193.6109158682
